year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-01,65231.0,165,395.34,57,16.63,65.76
2024-02,78621.0,211,372.61,63,22.74,84.72
2024-03,348589.98,438,795.87,141,44.15,351.4
2024-04,473194.0,599,789.97,204,62.4,492.91
2024-05,575205.1,701,820.55,234,70.67,579.84
2024-06,600265.01,751,799.29,237,78.23,625.28
2024-07,356075.0,503,707.9,163,50.71,358.95
2024-08,305432.64,444,687.91,148,44.76,307.9
2024-09,494480.7,602,821.4,196,62.71,515.08
2024-10,512163.45,716,715.31,241,72.18,516.29
2024-11,276957.0,493,561.78,166,51.35,288.5
2024-12,161001.0,319,504.71,108,32.16,162.3
2025-01,55986.0,142,394.27,54,14.31,56.44
2025-02,127381.0,295,431.8,103,32.92,142.17
2025-03,441340.85,580,760.93,190,58.47,444.9
2025-04,541375.85,634,853.91,218,66.04,563.93
2025-05,547620.07,604,906.66,196,60.89,552.04
2025-06,495174.95,553,895.43,167,57.6,515.81
2025-07,317811.35,507,626.85,165,51.11,320.37
2025-08,338587.3,549,616.73,165,55.34,341.32
2025-09,403565.07,512,788.21,169,53.33,420.38
2025-10,522637.99,677,771.99,226,68.25,526.85
2025-11,259224.0,460,563.53,149,47.92,270.02
2025-12,153198.0,234,654.69,75,23.59,154.43
2026-01,66150.0,153,432.35,55,15.42,66.68
2026-02,127133.0,288,441.43,97,32.14,141.89
2026-03,517705.82,685,755.77,216,69.05,521.88
2026-04,501332.0,642,780.89,209,66.88,522.22
2026-05,561682.91,687,817.59,221,69.25,566.21
2026-06,484965.09,693,699.81,230,72.19,505.17
2026-07,384070.47,715,537.16,233,72.08,387.17
2026-08,334744.96,618,541.66,192,62.3,337.44
2026-09,499975.78,665,751.84,203,69.27,520.81
2026-10,402179.66,476,844.92,151,47.98,405.42
2026-11,120141.9,193,622.5,50,20.1,125.15
2026-12,37084.020000000004,73,508.0,19,7.36,37.38
2027-01,5693.1,12,474.42,4,1.21,5.74
2027-02,22560.14,39,578.47,12,4.35,25.18
2027-03,43211.61,52,830.99,13,5.24,43.56
2027-04,21176.0,17,1245.65,5,1.77,22.06
2027-05,29979.0,45,666.2,12,4.54,30.22
2027-06,34796.6,38,915.7,9,3.96,36.25
2027-07,2827.63,4,706.91,2,0.4,2.85
2027-09,11496.9,16,718.56,4,1.67,11.98
2027-10,1448.1,3,482.7,1,0.3,1.46
